waypoint1	waypoint2	distance_m	duration_s
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Gateway Arch, Washington Avenue, St Louis, MO	1734279	58145
Cape Canaveral, FL	Statue of Liberty, Liberty Island, NYC, NY	1759380	57091
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	USS Constitution, Boston, MA	167183	6166
New Castle Historic District, Delaware	Grand Canyon National Park, Arizona	3741677	122144
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	310125	10608
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	White House, Pennsylvania Avenue Northwest, Washington, DC	2202900	71934
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Taliesin, County Road C, Spring Green, Wisconsin	770373	26747
Graceland, Elvis Presley Boulevard, Memphis, TN	Gateway Arch, Washington Avenue, St Louis, MO	469145	15247
Taliesin, County Road C, Spring Green, Wisconsin	Statue of Liberty, Liberty Island, NYC, NY	1570383	53903
Carlsbad Caverns National Park, Carlsbad, NM	Congress Hall, Congress Place, Cape May, NJ 08204	3232567	109057
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Fort Snelling, Tower Avenue, Saint Paul, MN	1277557	42826
Terrace Hill, Grand Avenue, Des Moines, IA	Grand Canyon National Park, Arizona	2126579	69490
Taliesin, County Road C, Spring Green, Wisconsin	Fort Snelling, Tower Avenue, Saint Paul, MN	402693	14609
Craters of the Moon National Monument & Preserve, Arco, ID	Statue of Liberty, Liberty Island, NYC, NY	3754373	122363
Mount Vernon, Fairfax County, Virginia	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4551979	146197
Taliesin, County Road C, Spring Green, Wisconsin	Acadia National Park, Maine	2310920	79386
Shelburne Farms, Harbor Road, Shelburne, VT	Lost World Caverns, Lewisburg, WV	1199298	41645
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Bryce Canyon National Park, Hwy 63, Bryce, UT	2490228	83656
Maryland State House, 100 State Cir, Annapolis, MD 21401	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1105058	36238
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Graceland, Elvis Presley Boulevard, Memphis, TN	2399554	77775
Shelburne Farms, Harbor Road, Shelburne, VT	Hanford Site, Benton County, WA	4564119	151892
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Wright Brothers National Memorial Visitor Center, Manteo, NC	1136995	39795
Graceland, Elvis Presley Boulevard, Memphis, TN	Ashfall Fossil Bed, Royal, NE	1310105	46863
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Fort Snelling, Tower Avenue, Saint Paul, MN	1667139	56039
Liberty Bell, 6th Street, Philadelphia, PA	Wright Brothers National Memorial Visitor Center, Manteo, NC	582053	22681
Liberty Bell, 6th Street, Philadelphia, PA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1171045	40708
Pikes Peak, Colorado	Bryce Canyon National Park, Hwy 63, Bryce, UT	998488	37341
Terrace Hill, Grand Avenue, Des Moines, IA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1011679	35365
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Taliesin, County Road C, Spring Green, Wisconsin	1208996	40460
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Glacier National Park, West Glacier, MT	3369066	109995
Terrace Hill, Grand Avenue, Des Moines, IA	Acadia National Park, Maine	2529755	84694
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Cape Canaveral, FL	2330047	77079
USS Alabama, Battleship Parkway, Mobile, AL	Ashfall Fossil Bed, Royal, NE	1889577	67851
Graceland, Elvis Presley Boulevard, Memphis, TN	Congress Hall, Congress Place, Cape May, NJ 08204	1717234	57440
The Alamo, Alamo Plaza, San Antonio, TX	Bryce Canyon National Park, Hwy 63, Bryce, UT	2013900	69315
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Acadia National Park, Maine	597379	21385
Hoover Dam, NV	Terrace Hill, Grand Avenue, Des Moines, IA	2328938	73873
San Andreas Fault, San Benito County, CA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3397300	109030
Toltec Mounds, Scott, AR	White House, Pennsylvania Avenue Northwest, Washington, DC	1627313	53061
USS Alabama, Battleship Parkway, Mobile, AL	Glacier National Park, West Glacier, MT	3545115	123166
Shelburne Farms, Harbor Road, Shelburne, VT	Fort Sumter National Monument, Sullivan's Island, SC	1672509	57554
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Fort Sumter National Monument, Sullivan's Island, SC	922894	31784
Liberty Bell, 6th Street, Philadelphia, PA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	337338	12880
Carlsbad Caverns National Park, Carlsbad, NM	Statue of Liberty, Liberty Island, NYC, NY	3284729	109318
Graceland, Elvis Presley Boulevard, Memphis, TN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3375034	106909
Glacier National Park, West Glacier, MT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1852892	68182
Cape Canaveral, FL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	377410	13220
The Alamo, Alamo Plaza, San Antonio, TX	Gateway Arch, Washington Avenue, St Louis, MO	1454861	48938
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mount Vernon, Fairfax County, Virginia	1776793	60250
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Pikes Peak, Colorado	1138992	41032
White House, Pennsylvania Avenue Northwest, Washington, DC	French Quarter, New Orleans, LA	1743678	56192
The Breakers, Ochre Point Avenue, Newport, RI	Yellowstone National Park, WY 82190	3809631	129558
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Breakers, Ochre Point Avenue, Newport, RI	1317092	46456
Carlsbad Caverns National Park, Carlsbad, NM	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1858566	62840
Maryland State House, 100 State Cir, Annapolis, MD 21401	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	848229	29340
Yellowstone National Park, WY 82190	The Alamo, Alamo Plaza, San Antonio, TX	2356077	82050
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	San Andreas Fault, San Benito County, CA	2527020	83368
New Castle Historic District, Delaware	Gateway Arch, Washington Avenue, St Louis, MO	1440290	50020
French Quarter, New Orleans, LA	Grand Canyon National Park, Arizona	2486793	79674
Statue of Liberty, Liberty Island, NYC, NY	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1477357	50369
Hoover Dam, NV	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3441584	113235
Maryland State House, 100 State Cir, Annapolis, MD 21401	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	2265577	74139
Hanford Site, Benton County, WA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3072833	99361
Fort Sumter National Monument, Sullivan's Island, SC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4455913	142569
Terrace Hill, Grand Avenue, Des Moines, IA	Gateway Arch, Washington Avenue, St Louis, MO	567564	19773
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Lost World Caverns, Lewisburg, WV	1869023	61109
Pikes Peak, Colorado	The Alamo, Alamo Plaza, San Antonio, TX	1435151	49274
Graceland, Elvis Presley Boulevard, Memphis, TN	Vicksburg National Military Park, Clay Street, Vicksburg, MS	382413	12329
Liberty Bell, 6th Street, Philadelphia, PA	Hanford Site, Benton County, WA	4339013	140742
USS Alabama, Battleship Parkway, Mobile, AL	Fort Sumter National Monument, Sullivan's Island, SC	1002499	32623
Liberty Bell, 6th Street, Philadelphia, PA	Columbia River Gorge National Scenic Area, Oregon	4452738	143085
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	702803	22713
The Alamo, Alamo Plaza, San Antonio, TX	Columbia River Gorge National Scenic Area, Oregon	3174721	106519
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	827545	27595
Wright Brothers National Memorial Visitor Center, Manteo, NC	Columbia River Gorge National Scenic Area, Oregon	4743875	154046
Columbia River Gorge National Scenic Area, Oregon	Grand Canyon National Park, Arizona	1682141	56226
Terrace Hill, Grand Avenue, Des Moines, IA	Ashfall Fossil Bed, Royal, NE	460092	17005
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Shelburne Farms, Harbor Road, Shelburne, VT	2658016	91689
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4384469	140971
Craters of the Moon National Monument & Preserve, Arco, ID	Acadia National Park, Maine	4497107	147768
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Snelling, Tower Avenue, Saint Paul, MN	1778589	60035
Gateway Arch, Washington Avenue, St Louis, MO	Acadia National Park, Maine	2328971	79163
Toltec Mounds, Scott, AR	Gateway Arch, Washington Avenue, St Louis, MO	568157	20503
Wright Brothers National Memorial Visitor Center, Manteo, NC	Yellowstone National Park, WY 82190	3764344	127510
San Andreas Fault, San Benito County, CA	The Breakers, Ochre Point Avenue, Newport, RI	5103126	166192
Gateway Arch, Washington Avenue, St Louis, MO	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	158520	5593
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Yellowstone National Park, WY 82190	2591982	89869
Shelburne Farms, Harbor Road, Shelburne, VT	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	192042	8293
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Fort Snelling, Tower Avenue, Saint Paul, MN	956302	31450
Liberty Bell, 6th Street, Philadelphia, PA	Fort Sumter National Monument, Sullivan's Island, SC	1077955	35849
Liberty Bell, 6th Street, Philadelphia, PA	Gateway Arch, Washington Avenue, St Louis, MO	1425131	48171
Yellowstone National Park, WY 82190	Acadia National Park, Maine	4264590	144658
New Castle Historic District, Delaware	Columbia River Gorge National Scenic Area, Oregon	4478003	145647
Congress Hall, Congress Place, Cape May, NJ 08204	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1311091	45188
Carlsbad Caverns National Park, Carlsbad, NM	Lost World Caverns, Lewisburg, WV	2627620	87418
Terrace Hill, Grand Avenue, Des Moines, IA	Carlsbad Caverns National Park, Carlsbad, NM	1775662	59430
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Cape Canaveral, FL	3635791	117123
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	French Quarter, New Orleans, LA	2529104	82743
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Ashfall Fossil Bed, Royal, NE	1604535	55497
The Breakers, Ochre Point Avenue, Newport, RI	White House, Pennsylvania Avenue Northwest, Washington, DC	653295	24507
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1901493	61580
Hoover Dam, NV	Craters of the Moon National Monument & Preserve, Arco, ID	1149083	35910
Toltec Mounds, Scott, AR	Grand Canyon National Park, Arizona	2072393	65425
Yellowstone National Park, WY 82190	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3446653	117372
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Toltec Mounds, Scott, AR	756195	24900
USS Alabama, Battleship Parkway, Mobile, AL	Vicksburg National Military Park, Clay Street, Vicksburg, MS	370688	13387
Liberty Bell, 6th Street, Philadelphia, PA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1233782	40742
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2200235	71786
Hoover Dam, NV	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2084706	67807
USS Alabama, Battleship Parkway, Mobile, AL	Wright Brothers National Memorial Visitor Center, Manteo, NC	1489642	47392
USS Alabama, Battleship Parkway, Mobile, AL	Grand Canyon National Park, Arizona	2615332	85785
Hoover Dam, NV	Wright Brothers National Memorial Visitor Center, Manteo, NC	4004005	128209
Graceland, Elvis Presley Boulevard, Memphis, TN	Fort Snelling, Tower Avenue, Saint Paul, MN	1288825	43921
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1032820	34455
French Quarter, New Orleans, LA	Bryce Canyon National Park, Hwy 63, Bryce, UT	2723632	91296
Craters of the Moon National Monument & Preserve, Arco, ID	Columbia River Gorge National Scenic Area, Oregon	845463	29100
Carlsbad Caverns National Park, Carlsbad, NM	Taliesin, County Road C, Spring Green, Wisconsin	2204052	73510
Olympia Entertainment, Woodward Avenue, Detroit, MI	Ashfall Fossil Bed, Royal, NE	1419146	48026
The Alamo, Alamo Plaza, San Antonio, TX	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2788838	87269
Maryland State House, 100 State Cir, Annapolis, MD 21401	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1103913	37085
White House, Pennsylvania Avenue Northwest, Washington, DC	Grand Canyon National Park, Arizona	3663661	116717
Yellowstone National Park, WY 82190	Gateway Arch, Washington Avenue, St Louis, MO	2149556	74278
Craters of the Moon National Monument & Preserve, Arco, ID	Ashfall Fossil Bed, Royal, NE	1480088	56115
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	New Castle Historic District, Delaware	2958272	98658
Graceland, Elvis Presley Boulevard, Memphis, TN	Olympia Entertainment, Woodward Avenue, Detroit, MI	1204474	40007
Maryland State House, 100 State Cir, Annapolis, MD 21401	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	917186	32349
Liberty Bell, 6th Street, Philadelphia, PA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1369812	46284
Taliesin, County Road C, Spring Green, Wisconsin	USS Constitution, Boston, MA	1881312	64293
Cape Canaveral, FL	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1250556	40658
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Terrace Hill, Grand Avenue, Des Moines, IA	1038320	32938
Toltec Mounds, Scott, AR	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2177479	71850
Bryce Canyon National Park, Hwy 63, Bryce, UT	Columbia River Gorge National Scenic Area, Oregon	1502684	48423
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1085667	36886
Hoover Dam, NV	Yellowstone National Park, WY 82190	1260922	45106
White House, Pennsylvania Avenue Northwest, Washington, DC	Yellowstone National Park, WY 82190	3376611	114295
Lost World Caverns, Lewisburg, WV	Acadia National Park, Maine	1555610	53471
Liberty Bell, 6th Street, Philadelphia, PA	USS Constitution, Boston, MA	495038	18425
Terrace Hill, Grand Avenue, Des Moines, IA	USS Constitution, Boston, MA	2099559	69476
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	White House, Pennsylvania Avenue Northwest, Washington, DC	2836410	93842
Graceland, Elvis Presley Boulevard, Memphis, TN	Taliesin, County Road C, Spring Green, Wisconsin	1107487	36315
Statue of Liberty, Liberty Island, NYC, NY	Acadia National Park, Maine	779355	28628
Olympia Entertainment, Woodward Avenue, Detroit, MI	Bryce Canyon National Park, Hwy 63, Bryce, UT	2939571	94810
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Pikes Peak, Colorado	989094	33954
Cape Canaveral, FL	Fort Sumter National Monument, Sullivan's Island, SC	642615	21283
Lost World Caverns, Lewisburg, WV	Yellowstone National Park, WY 82190	3138421	106104
Hanford Site, Benton County, WA	San Andreas Fault, San Benito County, CA	1398524	51329
French Quarter, New Orleans, LA	Columbia River Gorge National Scenic Area, Oregon	3922705	128082
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2866081	93302
Carlsbad Caverns National Park, Carlsbad, NM	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3711294	126359
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Congress Hall, Congress Place, Cape May, NJ 08204	825912	29227
Graceland, Elvis Presley Boulevard, Memphis, TN	Statue of Liberty, Liberty Island, NYC, NY	1767750	57903
Mount Vernon, Fairfax County, Virginia	Yellowstone National Park, WY 82190	3398494	115127
Statue of Liberty, Liberty Island, NYC, NY	French Quarter, New Orleans, LA	2098917	68067
Carlsbad Caverns National Park, Carlsbad, NM	Bryce Canyon National Park, Hwy 63, Bryce, UT	1371003	50784
Hoover Dam, NV	Bryce Canyon National Park, Hwy 63, Bryce, UT	470908	16041
Carlsbad Caverns National Park, Carlsbad, NM	Acadia National Park, Maine	4029017	136409
USS Alabama, Battleship Parkway, Mobile, AL	Yellowstone National Park, WY 82190	3112156	106169
Lost World Caverns, Lewisburg, WV	Columbia River Gorge National Scenic Area, Oregon	4123092	131961
Carlsbad Caverns National Park, Carlsbad, NM	Cape Canaveral, FL	2624095	87210
Liberty Bell, 6th Street, Philadelphia, PA	Congress Hall, Congress Place, Cape May, NJ 08204	135319	5538
Toltec Mounds, Scott, AR	Acadia National Park, Maine	2768590	92702
Fort Sumter National Monument, Sullivan's Island, SC	Gateway Arch, Washington Avenue, St Louis, MO	1376724	44982
Fort Sumter National Monument, Sullivan's Island, SC	Grand Canyon National Park, Arizona	3346258	107267
Hoover Dam, NV	Columbia River Gorge National Scenic Area, Oregon	1586117	53673
New Castle Historic District, Delaware	Fort Sumter National Monument, Sullivan's Island, SC	1004882	33412
Lost World Caverns, Lewisburg, WV	Gateway Arch, Washington Avenue, St Louis, MO	991827	32343
Craters of the Moon National Monument & Preserve, Arco, ID	Grand Canyon National Park, Arizona	1092664	37411
Wright Brothers National Memorial Visitor Center, Manteo, NC	Craters of the Moon National Monument & Preserve, Arco, ID	4003167	130557
Pikes Peak, Colorado	Fort Snelling, Tower Avenue, Saint Paul, MN	1621098	52897
Terrace Hill, Grand Avenue, Des Moines, IA	Craters of the Moon National Monument & Preserve, Arco, ID	1969397	63464
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Yellowstone National Park, WY 82190	2747124	93151
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	USS Constitution, Boston, MA	2773664	92931
Lost World Caverns, Lewisburg, WV	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1353504	45969
Taliesin, County Road C, Spring Green, Wisconsin	Gateway Arch, Washington Avenue, St Louis, MO	640177	21609
Shelburne Farms, Harbor Road, Shelburne, VT	Fort Snelling, Tower Avenue, Saint Paul, MN	2108269	74013
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1944125	62449
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Lost World Caverns, Lewisburg, WV	1442759	47179
Carlsbad Caverns National Park, Carlsbad, NM	Olympia Entertainment, Woodward Avenue, Detroit, MI	2557663	85968
Wright Brothers National Memorial Visitor Center, Manteo, NC	Olympia Entertainment, Woodward Avenue, Detroit, MI	1296121	44397
Maryland State House, 100 State Cir, Annapolis, MD 21401	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1700468	54930
Mount Vernon, Fairfax County, Virginia	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	571779	21234
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Gateway Arch, Washington Avenue, St Louis, MO	847491	27193
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4838236	155507
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	San Andreas Fault, San Benito County, CA	2485901	83726
Hoover Dam, NV	French Quarter, New Orleans, LA	2725797	87321
Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	Grand Canyon National Park, Arizona	2462148	77824
Hanford Site, Benton County, WA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4790512	157993
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	524146	17801
Mount Vernon, Fairfax County, Virginia	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	956980	34372
Maryland State House, 100 State Cir, Annapolis, MD 21401	Lost World Caverns, Lewisburg, WV	479163	16168
Wright Brothers National Memorial Visitor Center, Manteo, NC	Ashfall Fossil Bed, Royal, NE	2531422	86090
Lost World Caverns, Lewisburg, WV	Cape Canaveral, FL	1230767	40942
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Wright Brothers National Memorial Visitor Center, Manteo, NC	3283326	109628
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	897371	30973
Graceland, Elvis Presley Boulevard, Memphis, TN	Carlsbad Caverns National Park, Carlsbad, NM	1530542	52124
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Grand Canyon National Park, Arizona	2732563	86585
Hanford Site, Benton County, WA	Grand Canyon National Park, Arizona	1641209	55038
Lost World Caverns, Lewisburg, WV	Wright Brothers National Memorial Visitor Center, Manteo, NC	630856	21882
The Breakers, Ochre Point Avenue, Newport, RI	Fort Sumter National Monument, Sullivan's Island, SC	1509644	51864
Maryland State House, 100 State Cir, Annapolis, MD 21401	Ashfall Fossil Bed, Royal, NE	2139243	72176
Lost World Caverns, Lewisburg, WV	Bryce Canyon National Park, Hwy 63, Bryce, UT	3263699	104829
USS Alabama, Battleship Parkway, Mobile, AL	Liberty Bell, 6th Street, Philadelphia, PA	1783560	58556
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Ashfall Fossil Bed, Royal, NE	1048083	38446
Fort Sumter National Monument, Sullivan's Island, SC	Glacier National Park, West Glacier, MT	3936065	130151
USS Constitution, Boston, MA	Fort Snelling, Tower Avenue, Saint Paul, MN	2236960	75305
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1166316	37905
New Castle Historic District, Delaware	Ashfall Fossil Bed, Royal, NE	2222494	75952
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Glacier National Park, West Glacier, MT	788472	29371
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Ashfall Fossil Bed, Royal, NE	2408053	81112
USS Alabama, Battleship Parkway, Mobile, AL	Acadia National Park, Maine	2697479	90984
San Andreas Fault, San Benito County, CA	Taliesin, County Road C, Spring Green, Wisconsin	3458781	111318
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1749501	58448
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Grand Canyon National Park, Arizona	3274814	105668
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	USS Constitution, Boston, MA	3083351	101542
Toltec Mounds, Scott, AR	Yellowstone National Park, WY 82190	2419546	81262
Congress Hall, Congress Place, Cape May, NJ 08204	Gateway Arch, Washington Avenue, St Louis, MO	1573547	53369
Maryland State House, 100 State Cir, Annapolis, MD 21401	San Andreas Fault, San Benito County, CA	4594279	149454
San Andreas Fault, San Benito County, CA	Statue of Liberty, Liberty Island, NYC, NY	4774120	155696
Pikes Peak, Colorado	Yellowstone National Park, WY 82190	1010111	40861
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Mount Vernon, Fairfax County, Virginia	2656789	87096
Statue of Liberty, Liberty Island, NYC, NY	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1480247	49443
San Andreas Fault, San Benito County, CA	Craters of the Moon National Monument & Preserve, Arco, ID	1361109	46565
The Alamo, Alamo Plaza, San Antonio, TX	Grand Canyon National Park, Arizona	1780052	58087
Wright Brothers National Memorial Visitor Center, Manteo, NC	The Alamo, Alamo Plaza, San Antonio, TX	2548833	81099
Columbia River Gorge National Scenic Area, Oregon	Ashfall Fossil Bed, Royal, NE	2359209	79778
Bryce Canyon National Park, Hwy 63, Bryce, UT	Glacier National Park, West Glacier, MT	1475714	47994
The Alamo, Alamo Plaza, San Antonio, TX	French Quarter, New Orleans, LA	875710	28421
Craters of the Moon National Monument & Preserve, Arco, ID	Pikes Peak, Colorado	1310714	47209
San Andreas Fault, San Benito County, CA	Olympia Entertainment, Woodward Avenue, Detroit, MI	3989459	128044
Graceland, Elvis Presley Boulevard, Memphis, TN	Craters of the Moon National Monument & Preserve, Arco, ID	2718789	90414
Fort Sumter National Monument, Sullivan's Island, SC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3649551	117677
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Bryce Canyon National Park, Hwy 63, Bryce, UT	1801093	58970
Toltec Mounds, Scott, AR	The Breakers, Ochre Point Avenue, Newport, RI	2273878	76157
The Breakers, Ochre Point Avenue, Newport, RI	Craters of the Moon National Monument & Preserve, Arco, ID	4042971	132612
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2575996	84758
Liberty Bell, 6th Street, Philadelphia, PA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	722539	26017
Carlsbad Caverns National Park, Carlsbad, NM	Gateway Arch, Washington Avenue, St Louis, MO	1705580	57853
Yellowstone National Park, WY 82190	Olympia Entertainment, Woodward Avenue, Detroit, MI	2695125	91185
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1761665	61810
Terrace Hill, Grand Avenue, Des Moines, IA	Wright Brothers National Memorial Visitor Center, Manteo, NC	2072573	69466
Vicksburg National Military Park, Clay Street, Vicksburg, MS	French Quarter, New Orleans, LA	331934	11302
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Craters of the Moon National Monument & Preserve, Arco, ID	4157603	137649
Shelburne Farms, Harbor Road, Shelburne, VT	Ashfall Fossil Bed, Royal, NE	2420015	85093
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Cape Canaveral, FL	2130718	68401
Hoover Dam, NV	New Castle Historic District, Delaware	3984959	129829
Cape Canaveral, FL	Yellowstone National Park, WY 82190	3827870	127325
Cape Canaveral, FL	Grand Canyon National Park, Arizona	3497485	112423
Graceland, Elvis Presley Boulevard, Memphis, TN	Glacier National Park, West Glacier, MT	2982190	101527
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1553662	49942
Hanford Site, Benton County, WA	Lost World Caverns, Lewisburg, WV	4081860	130602
Olympia Entertainment, Woodward Avenue, Detroit, MI	Glacier National Park, West Glacier, MT	2895149	97734
Olympia Entertainment, Woodward Avenue, Detroit, MI	Acadia National Park, Maine	1587595	54638
Shelburne Farms, Harbor Road, Shelburne, VT	The Alamo, Alamo Plaza, San Antonio, TX	3222592	109018
Hoover Dam, NV	Fort Snelling, Tower Avenue, Saint Paul, MN	2719740	86231
